Start_IATA,Start_Airport,Start_Lat,Start_Lon,End_IATA,End_Airport,End_Lat,End_Lon,Distance,CostPerKm,Price,Start_City,End_City
MAA,Chennai International Airport,12.99001,80.1693,COK,Cochin International Airport,10.152,76.4019,518.0,22.46,11635.87,Chennai,Cochin
MAA,Chennai International Airport,12.99001,80.1693,GOI,Dabolim Airport,15.3808,73.8314,733.98,15.88,11657.24,Chennai,Dabolim
MAA,Chennai International Airport,12.99001,80.1693,IXA,Agartala Airport,23.887,91.2404,1682.08,7.85,13196.73,Chennai,Agartala
MAA,Chennai International Airport,12.99001,80.1693,IXB,Bagdogra Airport,26.6812,88.3286,1743.94,10.83,18881.55,Chennai,Siliguri
MAA,Chennai International Airport,12.99001,80.1693,IXC,Chandigarh Airport,30.6735,76.7885,1996.92,8.86,17700.68,Chennai,Chandigarh
MAA,Chennai International Airport,12.99001,80.1693,IXE,Mangalore International Airport,12.9613,74.8901,573.0,23.66,13556.06,Chennai,Mangalore
MAA,Chennai International Airport,12.99001,80.1693,IXJ,Jammu Airport,32.6891,74.8374,2257.3,14.14,31918.02,Chennai,Jammu
MAA,Chennai International Airport,12.99001,80.1693,IXL,Leh Kushok Bakula Rimpochee Airport,34.1359,77.5465,2367.15,10.82,25610.68,Chennai,Leh
MAA,Chennai International Airport,12.99001,80.1693,IXM,Madurai Airport,9.83451,78.0934,418.01,22.85,9549.79,Chennai,Madurai
MAA,Chennai International Airport,12.99001,80.1693,IXR,Birsa Munda Airport,23.3143,85.3217,1270.95,12.71,16152.79,Chennai,Ranchi
MAA,Chennai International Airport,12.99001,80.1693,IXS,Silchar Airport,24.9129,92.9787,1887.92,10.04,18956.44,Chennai,Silchar
MAA,Chennai International Airport,12.99001,80.1693,IXU,Aurangabad Airport,19.8627,75.3981,918.03,15.43,14166.69,Chennai,Aurangabad
PNQ,,,,DEL,Indira Gandhi International Airport,28.5665,77.1031,1449.88,6.54,9487.56,,New Delhi
